----------------SI-------------------
68.486
68.475
68.487
68.335
68.338
68.407
74.477
74.495
74.519
66.838
66.839
66.848
74.953
74.916
74.819
75.010
75.247
74.929
72.026
71.947
71.973
63.188
63.229
63.274
74.624
74.644
74.679
74.588
74.576
74.585
80.029
80.031
80.037
72.560
72.554
72.571
72.557
72.554
72.532
73.628
73.648
73.680
71.098
71.105
71.115
62.988
62.929
62.912
77.245
77.280
77.274
77.732
77.685
77.706
82.579
82.569
82.560
75.238
75.217
75.270
82.886
82.847
82.841
82.941
82.927
82.909
80.736
80.735
80.733
72.698
72.714
72.714
74.950
74.946
74.939
75.380
75.378
75.380
80.160
80.157
80.148
72.809
72.816
72.788
72.693
72.695
72.693
72.977
72.962
73.010
70.794
70.746
70.729
62.321
62.322
62.322
79.555
79.558
79.557
79.817
79.817
79.817
82.319
82.346
82.339
78.014
78.020
78.002
80.825
80.843
80.843
84.953
84.949
84.947
80.445
80.446
80.463
77.195
77.198
77.180
81.485
81.510
81.523
85.521
85.521
85.516
88.027
88.041
88.048
84.491
84.474
84.497
80.132
80.137
80.124
83.736
83.747
83.764
77.928
77.909
77.878
74.416
74.411
74.412
74.137
74.137
74.130
77.832
77.838
77.844
81.209
81.216
81.217
77.282
77.281
77.235
79.097
79.101
79.109
81.910
81.939
81.977
77.738
77.747
77.752
73.672
73.667
73.625
72.338
72.345
72.344
76.435
76.378
76.350
78.765
78.786
78.746
74.045
74.043
74.046
71.017
71.017
71.019
74.350
74.348
74.349
68.608
68.590
68.579
63.828
63.879
63.875
77.743
77.740
77.746
80.711
80.720
80.777
83.473
83.475
83.484
80.246
80.241
80.246
83.518
83.518
83.497
86.953
86.931
86.950
82.686
82.654
82.700
78.383
78.380
78.398
80.882
80.919
80.938
83.999
83.999
84.001
87.141
87.138
87.138
83.983
83.992
84.055
80.212
80.186
80.250
84.789
84.782
84.797
79.273
79.280
79.305
75.983
76.023
76.009
78.180
78.202
78.241
83.059
83.059
83.059
84.670
84.693
84.688
82.547
82.634
82.631
83.951
83.949
83.945
88.990
88.988
88.988
83.876
83.863
83.827
81.603
81.612
81.634
72.547
72.547
72.568
76.946
76.953
76.943
81.066
81.047
81.081
80.730
80.718
80.729
76.263
76.277
76.276
82.377
82.377
82.373
76.681
76.671
76.675
74.777
74.777
74.756
72.355
72.368
72.356
77.967
77.957
77.952
79.628
79.628
